word2;word;description;language;sentiment ;;sentiment list 
schnappsidee;schnappsidee;An idea so stupid the person must have thought of it while drunk; German;humor ;;"joy : freedom; fun  "
forelsket;forelsket;The euphoria you feel when you're first falling in love.; Norwegian;love ;;sadness
treppenwitz;treppenwitz;"Literal: ""staircase joke"", because the witty retort usually hits you in the stairwell on your way out"; German;humor ;;anger : frustration 
yugen;yugen;A profound, mysterious sense of the beauty of the universe…and the sad beauty of human suffering.; Japanese;sadness ;;"love ; connections "
weltschmerz;weltschmerz;A feeling of melancholy and world-weariness; German;sadness ;;"humour ; cleverness "
bixomets;bixomets;Shame on behalf of others; Catalan;fear;;anticipation/nostalgia 
siwon;siwon;Usually meanng cool or cold, but when used in the context of dining, means the taste which achieves the ideal umami such that the food feels cool; Korean;anticipation/nostalgia;;"fear; shame  "
schilderwald;schilderwald;"Jungle of traffic signs; a street so crowded with signs that you become lost"; German;fear;;calm /spiritual 
kuidare;kuidare;To eat yourself into backruptcy; Japanese;food/drink;;food/drink ?
schadenfreude;schadenfreude;To be happy when things go wrong for someone else; German;joy;;intelligence/stupidity ?
saper vivere;saper;"The ability to handle people and situations with charm, diplomacy and verve; cf. savior faire (French)."; Italian;joy;;beauty/nature 
eunoia (εὔνοια);eunoia;"A well-mind; beautiful thinking"; Greek;joy;;positive
njuta;njuta;to deeply enjoy, to profoundly appreciate.; Swedish;joy;;negative
greng-jai;greng-jai;The feeling of not wanting to impose; Thai;fear;;neutral 
anteayer;anteayer;The day before yesteraday; Spanish;neutral;;
yokomeshi;yokomeshi;"Literal: ""meal eaten sideways""; the stress caused by speaking a foreign language"; Japanese;food/drink;;
mamihlapinatapai;mamihlapinatapai;Two people looking at each other each hoping the other will do what both desire but neither is willing to do.; Yaghan;love ;;
pneúma (πνεῦμα);pneúma;"Wind; breath; spirit."; Greek;joy ;;
vergüenza ajena;vergüenza;Shame or embarrassment felt as a result of the actions of others; Spanish;fear;;
chutzpah;chutzpah;Insolence, cheek, audacity. Commonly used to describe someone when they have crossed the line of acceptable behavior; Yiddish;anger/frustration;;
abquatulate;abquatulate;To leave without saying goodbye; English;sadness ;;
beschaulich;beschaulich;"Quiet, pensive; living a simple life; pleasantly contemplative, unhurried in a fashion that inspires mental well-being."; German;joy;;
załatwić;załatwić;To make something which is very complicated somehow simpler in an entrepreneurial and cheeky way; Polish;humor;;
enxebre;enxebre;Something pure and very authentic; Galician;neutral;;
desenrascar;desenrascar;An informal word that means the act of figuring out things; Portuguese;neutral;;
empalagada;empalagada;How you feel after having something too sweet; Spanish;food/drink;;
torschlusspanik;torschlusspanik;The fear that time is running out on achieving life goals; German;sadness ;;
zapoi;zapoi;2+ days of drunkenness usually involving a journey or waking up in an unexpected place; Russian;food/drink;;
lieko;lieko;A tree trunk that has fallen to the bottom of a lake; Finnish;neutral;;
gretchenfrage;gretchenfrage;A direct question with the intention of unveiling the underlying thoughts of the person being questioned; German;humor;;
eudaimonia;eudaimonia;The contented happy state you feel when you travel; Greek;joy ;;
vprikusku;vprikusku;Drinking tea through pieces of sugar; Russian;food/drink;;
milozvučan;milozvučan;Having a sweet and gentle voice; Croatian;love ;;
amaeru;amaeru;To seek affection through doing things like clinging or pleading; Japanese;love ;;
kæk;kæk;Spirited, bold, cheeky, cocky.; Danish;joy;;
dadirri;dadirri;Inner, deep listening and quiet, still awareness out of respect.; Ngangiwumirr;calm/spiritual ;;
débrouille;débrouille;May be synonymous with resourceful, but it is more of a way of living by making do with little and improvising with what you have; French;intelligence/stupidity;;
latah;latah;Uncontrollable habit of saying embarrassing things; Indonesian;fear;;
toska (тоска);toska;At its deepest and most painful, it is a sensation of great spiritual anguish, often without any specific cause.; Russian;fear;;
layogenic;layogenic;Good looking from a distance; Tagalog;love ;;
sielvartas;sielvartas;Literal translation as “soul tumbling” used as grief or resentment; Lithuanian;sadness ;;
épater les bourgeois;épater;To shock the middle classes; French;humor;;
capicua;capicua;A number that doesn't vary if the numbers are inverted. Also it can be called a palindrome, but the word capicua refers especially to the numbers; Catalan;neutral;;
handschuhschneeballwerfer;handschuhschneeballwerfer;"A person who wears gloves to throw snowballs; a wimp"; German;fear;;
resfeber;resfeber;"Travel fever/bug; the feeling of excitement and nervousness experienced by a traveller before undertaking a journey."; Swedish;anticipation/nostalgia;;
fensterln;fensterln;To visit a girl who you fancy either by coming to her window or climbing through it to see her; German;love ;;
volta;volta;During certain hours of the early evening, around dusk, everyone in the town who might feel like going for a walk takes a saunter or stroll up and down the main street; Greek;joy;;
cafuné;cafuné;Tenderly running your fingers through your lover's hair; Portuguese;love ;;
hikikomori;hikikomori;Reclusive adolescents or adults who withdraw from social life, often seeking extreme degrees of isolation and confinement; Japanese;sadness ;;
seigneur-terrasse;seigneur-terrasse;Someone who spends time, but not money, at a café; French;joy;;
chrysalism;chrysalism;An amniotic tranquility of being indoors during a thunderstorm.; English;calm/spiritual ;;
guanxi (关系);guanxi;An intimate connection between people which would benefit from the other in solving delicate problems or in achieving personal goals; Chinese;love ;;
nameer (نمير);nameer;Clear water.; Arabic;neutral;;
weemoed;weemoed;"Lit. sadness, woe (wee) courage, daring, mood (moed); soft mood; light melancholy; having the strength to overcome a feeling of sorrow (e.g., arising in relation to nostalgia)."; Dutch;sadness ;;
sankocha;sankocha;The feeling of embarrassment due to receiving an inordinate or extravagent gift/favor, making you feel as though you need to return a favor that you can't; Kannada;anger/frustration;;
nadryv (надрыв);nadryv;"Literally means ""to tear or break"", but can also mean the inner tension of someone who is about to break"; Russian;sadness ;;
jhoota;jhoota;Food eaten by someone and left in the plate; Hindi;food/drink;;
shinrin-yoku (森林浴);shinrin-yoku;bathing' in the forest (literally and/or metaphorically).; Japanese;joy;;
l’ecole stratim (לאכול סרטים);l’ecole;"Literally ""to eat motives""; describing a person that loves drama"; Yiddish;joy;;
mysa;mysa;"Can mean ""cosying up"" or ""to snuggle"", but in braoder sense, it means to ""have a nice and relaxed time"""; Swedish;joy;;
didis;didis;To search and pick up lice from one's own hair, usually when in bed at night; Indonesian;negative ;;
vozdukh (воздух);vozdukh;"""Air"" but also ""the stack of spirit"". To breathe in is to ""take the spirit inside""."; Russian;neutral;;
athazagoraphobia;athazagoraphobia;The fear of forgetting, being forgotten or ignored, or being replaced; English;sadness ;;
parea;parea;A group of friends who regularly gather together to share their experiences about life, their philosophies, values and ideas.; Greek;joy;;
filotimo;filotimo;A friend of honour, but it also implies dignity, pride, sacrifice and respect; Greek;joy;;
tokimeki ときめき;tokimeki;"Excitement; Feeling of bliss or joy from a discrete experience"; Japanese;joy;;
